architecture,controls,mad.score_Dexamethasone,mad.score_FBS,mad.score_Serum Free,pval.empirical_Dexamethasone,pval.empirical_FBS,pval.empirical_Serum Free,pval.mad_Dexamethasone,pval.mad_FBS,pval.mad_Serum Free,pval.zscore_Dexamethasone,pval.zscore_FBS,pval.zscore_Serum Free,statistic_Dexamethasone,statistic_FBS,statistic_Serum Free,zscore_Dexamethasone,zscore_FBS,zscore_Serum Free
"AR-1:1932, 8, set2, minCMV",FALSE,72.3198408585028,1.454125819773825,1.4069671965909774,0,0.20915032679738566,0.16013071895424835,0,0.07295571316494937,0.07971855805370558,4.964464635718346e-232,0.3665566861533454,0.3244414192982836,4.842766776819004,0.40125257772500916,0.39494771149102725,32.50219210001226,0.3409869948011266,0.4553147189033953
"AR-1:1932, 8, set2, minProm",FALSE,14.518828441875081,-1.1316681350592437,-0.4230915134649992,0.0032679738562091387,0.9771241830065359,0.6797385620915033,4.603519047377417e-48,0.8711130085184046,0.6638857530364691,1.5414054241052941e-10,0.7962865316894905,0.6859990869989488,1.203035692142672,0.2604591916593148,0.30259716486398963,6.294555942920194,-0.8284301518221021,-0.48454120882742824
"AR-1:1932, 8, set2, minTK",FALSE,8.825824557844578,-0.7744238244785566,-0.4922967213759491,0.013071895424836555,0.8431372549019608,0.7124183006535948,5.43281245188051e-19,0.7806599003574215,0.6887452012225682,1.022938410906632e-4,0.7475716270692816,0.6984970149114575,0.8445471062934721,0.27991071680707413,0.2991048513415352,3.7132832593527576,-0.666867541024824,-0.5200826504913194
"Ar-1:1934, 8, set2, minCMV",FALSE,92.0313547449029,1.2415229255495241,1.6113773945964747,0,0.23202614379084963,0.14379084967320266,0,0.10720631723952238,0.05354874559526823,0,0.4032909317905433,0.2876398530650376,6.084001260762415,0.38967660458559544,0.40526289614506017,41.43961659210701,0.2448380075769406,0.5602928462325573
"Ar-1:1934, 8, set2, minProm",FALSE,19.748693227534083,-0.6790115298287709,-0.8163788094112776,0.0032679738562091387,0.8202614379084967,0.8594771241830066,4.116022714932307e-87,0.7514347217544332,0.7928582437262738,2.2410569816033097e-18,0.7335934793253971,0.753807431938754,1.5323603982881524,0.2851058020577504,0.2827506448793945,8.665836093956276,-0.6237176322110994,-0.6865201914498111
"Ar-1:1934, 8, set2, minTK",FALSE,12.397856774397788,-0.7029414956988974,-0.4822887107037973,0.0032679738562091387,0.8235294117647058,0.7058823529411764,1.3420341484294667e-35,0.7589538950943482,0.6851995670773018,4.833272605121924e-8,0.7371357266257532,0.6967035310169404,1.0694780573353249,0.2838028440564006,0.29960988719155673,5.332883276011071,-0.6345398836725239,-0.5149428765030152
"AR-1:267, 1, set1, minCMV",FALSE,91.99056281895963,0.6653701260285214,1.0491106692038759,0,0.32352941176470584,0.20261437908496727,0,0.25290689380256903,0.14706359309919104,0,0.5062732188151308,0.3929910324828009,6.081432592245169,0.3583057742129071,0.3768891400710746,41.42112106912962,-0.01572527573320707,0.27153177429412234
"AR-1:267, 1, set1, minProm",FALSE,15.845750083668348,-0.8752645321198301,-0.5867778067563937,0.0032679738562091387,0.9019607843137255,0.7581699346405228,7.520772098510326e-57,0.8092850061037486,0.7213235280543235,2.670649992996196e-12,0.7619138617795441,0.7151878585559297,1.2865919785231394,0.2744200609659392,0.2943370371545614,6.896197300798646,-0.7124724324636464,-0.5686049233918083
"AR-1:267, 1, set1, minTK",FALSE,10.54539156348252,-0.9226693603464279,-0.29254053294175936,0.009803921568627416,0.9281045751633987,0.6209150326797386,2.667507908867766e-26,0.8219102311270124,0.6150633131237816,3.5120900058696456e-6,0.7684985441912501,0.6618416868466546,0.9528282802890291,0.27183892480487326,0.30918517996305067,4.492954489099857,-0.7339111162602797,-0.4174946642320993
"Ar-1:269, 1, set1, minCMV",FALSE,116.21017608238523,2.1404591270813533,1.5211607382852095,0,0.13725490196078427,0.15359477124183007,0,0.01615884028160175,0.0641097526963171,0,0.25740091074698146,0.30363975506673235,7.606542197909624,0.4386226048785191,0.400710278527151,52.4025690703889,0.6513790646580102,0.513960639102654
"Ar-1:269, 1, set1, minProm",FALSE,24.855056439476733,-0.7192038110200463,-0.6596604326511984,0,0.8235294117647058,0.803921568627451,1.1400195169729007e-136,0.7639923241974176,0.7452641182494925,2.3552557993170667e-28,0.7395291456493711,0.7277542313582188,1.8539082074889603,0.28291738045051157,0.2906591494977259,10.98111922740629,-0.6418944643980298,-0.6060349618924448
"Ar-1:269, 1, set1, minTK",FALSE,18.402244167790347,-0.6671893989951508,-0.4071655953710376,0.0032679738562091387,0.8169934640522876,0.673202614379085,6.301761699642508e-76,0.7476744191523182,0.6580568156779165,3.9628838353575077e-16,0.7318346317495862,0.6830918198328606,1.447574469949072,0.2857495029324724,0.303400837026764,8.055340782776028,-0.618371110891944,-0.47636219880828656
"AR-1:600, 4, set1, minCMV",FALSE,74.48999138901848,0.36178392715525715,0.2712710822727876,0,0.38235294117647056,0.40522875816993464,0,0.3587567519949194,0.39309127293404644,3.832108693065202e-246,0.5608092116596838,0.5509018470864125,4.979421205765866,0.34177586902758095,0.33763689606025926,33.486163022527,-0.1530211750360128,-0.12794018941053797
"AR-1:600, 4, set1, minProm",FALSE,14.190066120987062,-0.5851705942066617,-0.7434641408472425,0.0032679738562091387,0.7810457516339869,0.826797385620915,5.277957868776522e-46,0.7207834924149497,0.7713996380191062,3.985817405502214e-10,0.7194735704515306,0.7418546288637959,1.1823335212156065,0.2902153286900309,0.286430149510594,6.145491369000799,-0.5812783655531552,-0.6490736969237746
"AR-1:600, 4, set1, minTK",FALSE,11.424161039283428,-0.4603078431392326,-0.31527819457256095,0.0065359477124182774,0.7124183006535948,0.6372549019607843,1.5834964962340885e-30,0.6773523638395558,0.6237247801996493,5.006099537298923e-7,0.7001422147201581,0.6661009542662372,1.008164414443267,0.29701395604523956,0.30803776569208396,4.891398559970897,-0.5248095808691002,-0.42917195411849474
