statistic,pval,fdr,df.test,df.dna,df.rna.full,df.rna.red,architecture
27.444404288585247,1.0978002596714459e-6,6.4833549950980965e-6,2,20,7,5,"ALX4-1:1224, 1, set2, minProm"
11.84071545025381,0.0026842397851681316,0.007825527249554445,2,23,7,5,"ALX4-1:1224, 1, set2, minTK"
6.718812395414943,0.03475589094619015,0.07158641253906771,2,19,7,5,"ALX4-1:1557, 4, set2, minCMV"
3.681658242722392,0.15868580176022437,0.25074561214594754,2,13,7,5,"ALX4-1:1557, 4, set2, minProm"
15.91976166254176,3.491947280723951e-4,0.0012881405524448354,2,28,7,5,"ALX4-1:1557, 4, set2, minTK"
1.2013112061392803,0.5484519514188206,0.6456326857180309,2,15,7,5,"ALX4-1:1890, 8, set2, minCMV"
6.347044051493697,0.04185592036487339,0.08382101822010186,2,14,7,5,"ALX4-1:1890, 8, set2, minProm"
3.556381432696071,0.16894353769719297,0.26413148504392564,2,19,7,5,"ALX4-1:1890, 8, set2, minTK"
3.5561474637095216,0.16896330262741516,0.26413148504392564,2,16,7,5,"ALX4-1:225, 1, set1, minCMV"
0.6064890015683204,0.7384185303874017,0.8081551342907023,2,11,7,5,"ALX4-1:225, 1, set1, minProm"
6.758851962382664,0.03406700422435489,0.07045102355083761,2,15,7,5,"ALX4-1:225, 1, set1, minTK"
8.691341605897719,0.012962809839569253,0.030859526370013313,2,14,7,5,"ALX4-1:558, 4, set1, minCMV"
10.892339262843223,0.004312792678619378,0.011937436968039755,2,9,7,5,"ALX4-1:558, 4, set1, minProm"
0.5849801678352264,0.7464026463893207,0.8157304366767273,2,10,7,5,"ALX4-1:558, 4, set1, minTK"
9.264032360002716,0.009735111565263934,0.024227331942403195,2,12,7,5,"ALX4-1:891, 8, set1, minCMV"
10.230884613271655,0.0060033219379762295,0.01595517236826049,2,16,7,5,"ALX4-1:891, 8, set1, minProm"
5.654342135433751,0.05918003339488088,0.11239448519213306,2,9,7,5,"ALX4-1:891, 8, set1, minTK"
1046.0591589934047,7.098061410144097e-228,9.477455039370662e-226,2,105,7,5,"AR-1:1266, 1, set2, minCMV"
813.38839966657,2.371118125161493e-177,1.9680280438840394e-175,2,105,7,5,"AR-1:1266, 1, set2, minProm"
3822.898767392695,0,0,2,104,7,5,"AR-1:1266, 1, set2, minTK"
1518.7354246353952,0,0,2,105,7,5,"Ar-1:1268, 1, set2, minCMV"
721.943701318176,1.7057568985169258e-157,1.2042251575506848e-155,2,105,7,5,"Ar-1:1268, 1, set2, minProm"
6797.990546547477,0,0,2,105,7,5,"Ar-1:1268, 1, set2, minTK"
1368.8792760979268,5.6447147408618395e-298,1.5073842581901485e-295,2,105,7,5,"AR-1:1599, 4, set2, minCMV"
788.0147347523125,7.669631875222604e-172,6.0393434586688756e-170,2,105,7,5,"AR-1:1599, 4, set2, minProm"
439.3030404075653,4.041632617750093e-96,1.760546633916388e-94,2,105,7,5,"AR-1:1599, 4, set2, minTK"
1546.1826490024014,0,0,2,105,7,5,"Ar-1:1601, 4, set2, minCMV"
961.3323994736347,1.7755046616473843e-209,2.0194721540441176e-207,2,105,7,5,"Ar-1:1601, 4, set2, minProm"
1480.040330014218,4.1e-322,1.67913e-319,2,105,7,5,"Ar-1:1601, 4, set2, minTK"
1338.5030519175161,2.2271797578535238e-291,5.261283874129363e-289,2,105,7,5,"AR-1:1932, 8, set2, minCMV"
733.0300100761197,6.676606443257163e-160,4.768339159823895e-158,2,105,7,5,"AR-1:1932, 8, set2, minProm"
3888.3782152093727,0,0,2,105,7,5,"AR-1:1932, 8, set2, minTK"
1559.2000925589655,0,0,2,105,7,5,"Ar-1:1934, 8, set2, minCMV"
950.9959765214062,3.117794899806904e-207,3.3016372887265525e-205,2,105,7,5,"Ar-1:1934, 8, set2, minProm"
1403.8734238219722,1.421540939915921e-305,4.59531813313873e-303,2,105,7,5,"Ar-1:1934, 8, set2, minTK"
1381.1859295044087,1.2002899420805074e-300,3.350991283753853e-298,2,105,7,5,"AR-1:267, 1, set1, minCMV"
656.8500142594503,2.3271891557957983e-143,1.415207504445326e-141,2,105,7,5,"AR-1:267, 1, set1, minProm"
556.54686514471,1.4040538785803577e-121,7.308219425627591e-120,2,105,7,5,"AR-1:267, 1, set1, minTK"
1311.7230561433425,1.4553165420446702e-285,3.310575630088283e-283,2,105,7,5,"Ar-1:269, 1, set1, minCMV"
1720.5625448477658,0,0,2,105,7,5,"Ar-1:269, 1, set1, minProm"
925.3276562252995,1.168563923555476e-201,1.1962199364129555e-199,2,105,7,5,"Ar-1:269, 1, set1, minTK"
1351.056227559211,4.186661174902246e-294,1.0285789174499837e-291,2,105,7,5,"AR-1:600, 4, set1, minCMV"
798.6135822041633,3.8305755991398747e-174,3.055505887002222e-172,2,105,7,5,"AR-1:600, 4, set1, minProm"
4124.513649675089,0,0,2,105,7,5,"AR-1:600, 4, set1, minTK"
1103.9813923487782,1.8770964550842064e-240,2.9561862633659476e-238,2,105,7,5,"Ar-1:602, 4, set1, minCMV"
1089.1131443792065,3.1775004000603826e-237,4.879051864292718e-235,2,105,7,5,"Ar-1:602, 4, set1, minProm"
913.9337268747022,3.4818719591791045e-199,3.4492996085932356e-197,2,105,7,5,"Ar-1:602, 4, set1, minTK"
1495.9501157998093,0,0,2,105,7,5,"AR-1:933, 8, set1, minCMV"
762.5202933500241,2.6352518653528436e-166,1.9500863803611043e-164,2,104,7,5,"AR-1:933, 8, set1, minProm"
1043.0051932656925,3.268134970547821e-227,4.270826593426535e-225,2,105,7,5,"AR-1:933, 8, set1, minTK"
1381.6090716162435,9.714087806821088e-301,2.841139395690244e-298,2,104,7,5,"Ar-1:935, 8, set1, minCMV"
815.8340590520684,6.980475424909473e-178,5.8731616520265724e-176,2,105,7,5,"Ar-1:935, 8, set1, minProm"
856.0550721295731,1.2882584044155094e-186,1.1809676298388146e-184,2,104,7,5,"Ar-1:935, 8, set1, minTK"
1436.606509719646,1.10881752457e-312,4.00609249171824e-310,2,105,7,5,"AR-2:1267, 1, set2, minCMV"
1131.0242633598846,2.5188468474973687e-246,4.07125193087601e-244,2,105,7,5,"AR-2:1267, 1, set2, minProm"
862.3908928122328,5.42246807808214e-188,5.046181656906137e-186,2,105,7,5,"AR-2:1267, 1, set2, minTK"
1399.2060168573007,1.4664724771390305e-304,4.503536977293963e-302,2,105,7,5,"AR-2:1600, 4, set2, minCMV"
1088.452047101362,4.42222732526457e-237,6.624712251652438e-235,2,105,7,5,"AR-2:1600, 4, set2, minProm"
